participant,trial,task,sentence,answer,keyword_1,keyword_2,keyword_3,count_correct,prompt,answer.1,response,correctness,rt
5de3f5bd5d4f973ef7ee3d5e,20,phon_replication,bkbf1205,The taps are above the sink,taps,above,sink,1,lizard,Yes,Yes,1,383.7
5de3f5bd5d4f973ef7ee3d5e,21,phon_replication,bkbf0310,The man cleaned his shoes,man,cleaned,shoes,3,lighthouse,Yes,Yes,1,441
5de3f5bd5d4f973ef7ee3d5e,22,phon_replication,bkbf1415,The grass is getting long,grass,getting,long,3,rhino,Yes,Yes,1,402.4
5de3f5bd5d4f973ef7ee3d5e,23,phon_replication,bkbf2012,The raincoat's hanging up,raincoats,hanging,up,1,chimpanzee,No,No,1,1125.5
5de3f5bd5d4f973ef7ee3d5e,24,phon_replication,bkbf1301,The fruit came in a box,fruit,came,box,1,leopard,Yes,Yes,1,824.8000001
5de3f5bd5d4f973ef7ee3d5e,25,phon_replication,bkbf0216,The school finished early,school,finished,early,0,headphones,Yes,Yes,1,1882
5de3f5bd5d4f973ef7ee3d5e,26,phon_replication,bkbf0206,The thin dog was hungry,thin,dog,hungry,2,statue,Yes,Yes,1,280.2
5de3f5bd5d4f973ef7ee3d5e,27,phon_replication,bkbf2112,The cricket team's playing,cricket,teams,playing,1,cockerel,No,No,1,431.9
5de3f5bd5d4f973ef7ee3d5e,28,phon_replication,bkbf0912,The lady packed her bag,lady,packed,bag,3,basketball,No,Yes,0,380.8
5de3f5bd5d4f973ef7ee3d5e,29,phon_replication,bkbf0204,The old gloves are dirty,old,gloves,dirty,0,scissors,Yes,Yes,1,356.2
5de3f5bd5d4f973ef7ee3d5e,30,phon_replication,bkbf0414,The cooks making a cake,cooks,making,cake,3,turbine,Yes,No,0,297.9
5de3f5bd5d4f973ef7ee3d5e,31,phon_replication,bkbf0502,The matches lie on the shelf,matches,lie,shelf,1,motorbike,No,No,1,355.6999999
5de3f5bd5d4f973ef7ee3d5e,32,phon_replication,bkbf1008,Someones crossing the road,Someones,crossing,road,3,penguin,Yes,Yes,1,190.1999999
5de3f5bd5d4f973ef7ee3d5e,33,phon_replication,bkbf1907,A grocer sells butter,grocer,sells,butter,0,ladybird,No,Yes,0,320.2
5de3f5bd5d4f973ef7ee3d5e,34,phon_replication,bkbf2110,The egg cups are on the table,egg,cups,table,0,dragonfly,No,No,1,1137
5de3f5bd5d4f973ef7ee3d5e,35,phon_replication,bkbf2016,The flower stands in a pot,flower,stands,pot,3,mosquito,No,Yes,0,683.1999999
5de3f5bd5d4f973ef7ee3d5e,36,phon_replication,bkbf0501,The bath towel was wet,bath,towel,wet,2,container,No,No,1,364.1
5de3f5bd5d4f973ef7ee3d5e,37,phon_replication,bkbf0906,A letter fell on the mat,letter,fell,mat,1,camera,No,Yes,0,340.9000001
5de3f5bd5d4f973ef7ee3d5e,38,phon_replication,bkbf0411,The jam jar was full,jam,jar,full,3,slipper,Yes,No,0,376.4000001
5de3f5bd5d4f973ef7ee3d5e,39,phon_replication,bkbf0210,The police chased the car,police,chased,car,3,boiler,Yes,Yes,1,43.70000005
5de3f5bd5d4f973ef7ee3d5e,40,phon_replication,bkbf1701,The apple pie's cooking,apple,pies,cooking,1,woodpecker,No,Yes,0,167.9
5dec1798e4f840300cd3c680,1,phon_replication,bkbf0414,The cooks making a cake,cooks,making,cake,2,turbine,Yes,No,0,2757.3
5dec1798e4f840300cd3c680,2,phon_replication,bkbf1516,The puppy plays with a ball,puppy,plays,ball,2,octopus,No,Yes,0,712.5
5dec1798e4f840300cd3c680,3,phon_replication,bkbf0204,The old gloves are dirty,old,gloves,dirty,0,scissors,Yes,Yes,1,1493.8
5dec1798e4f840300cd3c680,4,phon_replication,bkbf0502,The matches lie on the shelf,matches,lie,shelf,1,motorbike,No,Yes,0,561.5
5dec1798e4f840300cd3c680,5,phon_replication,bkbf2110,The egg cups are on the table,egg,cups,table,3,dragonfly,No,No,1,1226.9
5dec1798e4f840300cd3c680,6,phon_replication,bkbf0512,Somebody took the money,Somebody,took,money,3,pyjamas,No,Yes,0,454.6
5dec1798e4f840300cd3c680,7,phon_replication,bkbf0411,The jam jar was full,jam,jar,full,1,slipper,Yes,Yes,1,1875.3
5dec1798e4f840300cd3c680,8,phon_replication,bkbf1609,Some men shave in the morning,men,shave,morning,3,kangaroo,No,No,1,784.2
5dec1798e4f840300cd3c680,9,phon_replication,bkbf0501,The bath towel was wet,bath,towel,wet,3,container,No,No,1,497.8
5dec1798e4f840300cd3c680,10,phon_replication,bkbf2016,The flower stands in a pot,flower,stands,pot,3,mosquito,No,No,1,501.8
5dec1798e4f840300cd3c680,11,phon_replication,bkbf0109,The postman shut the gate,postman,shut,gate,2,guitar,Yes,Yes,1,403.1
5dec1798e4f840300cd3c680,12,phon_replication,bkbf1701,The apple pie's cooking,apple,pies,cooking,3,woodpecker,No,No,1,429.1
5dec1798e4f840300cd3c680,13,phon_replication,bkbf1215,The boy had a toy dragon,boy,toy,dragon,3,tortoise,Yes,Yes,1,426.2
5dec1798e4f840300cd3c680,14,phon_replication,bkbf1208,The bread van's coming,bread,vans,coming,2,hamster,Yes,Yes,1,398.7
5dec1798e4f840300cd3c680,15,phon_replication,bkbf1203,The front garden was pretty,front,garden,pretty,3,giraffe,Yes,Yes,1,589.2
5dec1798e4f840300cd3c680,16,phon_replication,bkbf1212,The children help the milkman,children,help,milkman,2,reindeer,Yes,Yes,1,334
5dec1798e4f840300cd3c680,17,phon_replication,bkbf1907,A grocer sells butter,grocer,sells,butter,1,ladybird,No,No,1,1025.7
5dec1798e4f840300cd3c680,18,phon_replication,bkbf1008,Someones crossing the road,Someones,crossing,road,2,penguin,Yes,Yes,1,363
5dec1798e4f840300cd3c680,19,phon_replication,bkbf0913,The dinner plate's hot,dinner,plates,hot,3,dolphin,Yes,Yes,1,282.8
5dec1798e4f840300cd3c680,20,phon_replication,bkbf1906,The cleaner swept the floor,cleaner,swept,floor,3,antelope,No,No,1,481
5dec1798e4f840300cd3c680,21,phon_replication,bkbf0803,The match boxes are empty,match,boxes,empty,3,computer,No,No,1,427.6
5dec1798e4f840300cd3c680,22,phon_replication,bkbf1415,The grass is getting long,grass,getting,long,3,rhino,Yes,Yes,1,359.8
5dec1798e4f840300cd3c680,23,phon_replication,bkbf0210,The police chased the car,police,chased,car,3,boiler,Yes,Yes,1,339.8
5dec1798e4f840300cd3c680,24,phon_replication,bkbf1616,The painter used a brush,painter,used,brush,1,jellyfish,No,No,1,407.9
5dec1798e4f840300cd3c680,25,phon_replication,bkbf0602,The mother stirs the tea,mother,stirs,tea,1,sunglasses,No,No,1,363.7
5dec1798e4f840300cd3c680,26,phon_replication,bkbf0206,The thin dog was hungry,thin,dog,hungry,1,statue,Yes,Yes,1,1583.4
5dec1798e4f840300cd3c680,27,phon_replication,bkbf2012,The raincoat's hanging up,raincoats,hanging,up,2,chimpanzee,No,No,1,410.1
5dec1798e4f840300cd3c680,28,phon_replication,bkbf0912,The lady packed her bag,lady,packed,bag,3,basketball,No,No,1,557.7
5dec1798e4f840300cd3c680,29,phon_replication,bkbf2112,The cricket team's playing,cricket,teams,playing,3,cockerel,No,Yes,0,377.3
5dec1798e4f840300cd3c680,30,phon_replication,bkbf0714,The orange was quite sweet,orange,quite,sweet,3,microphone,No,No,1,1243.5
5dec1798e4f840300cd3c680,31,phon_replication,bkbf0615,The broom stood in the corner,broom,stood,corner,0,trampoline,No,No,1,373.7
5dec1798e4f840300cd3c680,32,phon_replication,bkbf0216,The school finished early,school,finished,early,2,headphones,Yes,Yes,1,1537.3
5dec1798e4f840300cd3c680,33,phon_replication,bkbf0310,The man cleaned his shoes,man,cleaned,shoes,2,lighthouse,Yes,Yes,1,343.1
5dec1798e4f840300cd3c680,34,phon_replication,bkbf0213,Some sticks were under the tree,sticks,under,tree,3,lipstick,Yes,Yes,1,343.2
5dec1798e4f840300cd3c680,35,phon_replication,bkbf0906,A letter fell on the mat,letter,fell,mat,0,camera,No,Yes,0,383
5dec1798e4f840300cd3c680,36,phon_replication,bkbf0201,The ladder's near the door,ladders,near,door,3,cupboard,Yes,Yes,1,389.3
5dec1798e4f840300cd3c680,37,phon_replication,bkbf1408,The kitchen window was clean,kitchen,window,clean,3,hedgehog,Yes,Yes,1,476.3
5dec1798e4f840300cd3c680,38,phon_replication,bkbf0812,The bus stopped suddenly,bus,stopped,suddenly,2,detector,No,Yes,0,337.1
5dec1798e4f840300cd3c680,39,phon_replication,bkbf1301,The fruit came in a box,fruit,came,box,2,leopard,Yes,Yes,1,474.3
5dec1798e4f840300cd3c680,40,phon_replication,bkbf1205,The taps are above the sink,taps,above,sink,2,lizard,Yes,Yes,1,386.1
5dfa688379f2fa7b1cdf180f,1,phon_replication,bkbf1408,The kitchen window was clean,kitchen,window,clean,2,hedgehog,Yes,Yes,1,2685.8
5dfa688379f2fa7b1cdf180f,2,phon_replication,bkbf2110,The egg cups are on the table,egg,cups,table,3,dragonfly,No,No,1,1461.3
5dfa688379f2fa7b1cdf180f,3,phon_replication,bkbf0502,The matches lie on the shelf,matches,lie,shelf,2,motorbike,No,Yes,0,1063.5
5dfa688379f2fa7b1cdf180f,4,phon_replication,bkbf0615,The broom stood in the corner,broom,stood,corner,1,trampoline,No,No,1,488.5
5dfa688379f2fa7b1cdf180f,5,phon_replication,bkbf2112,The cricket team's playing,cricket,teams,playing,3,cockerel,No,Yes,0,1887
5dfa688379f2fa7b1cdf180f,6,phon_replication,bkbf0912,The lady packed her bag,lady,packed,bag,3,basketball,No,No,1,952.9
5dfa688379f2fa7b1cdf180f,7,phon_replication,bkbf0906,A letter fell on the mat,letter,fell,mat,1,camera,No,No,1,578.5999999
5dfa688379f2fa7b1cdf180f,8,phon_replication,bkbf0714,The orange was quite sweet,orange,quite,sweet,2,microphone,No,Yes,0,493.8
5dfa688379f2fa7b1cdf180f,9,phon_replication,bkbf0501,The bath towel was wet,bath,towel,wet,3,container,No,Yes,0,1410.9
5dfa688379f2fa7b1cdf180f,10,phon_replication,bkbf1516,The puppy plays with a ball,puppy,plays,ball,3,octopus,No,No,1,684.8
5dfa688379f2fa7b1cdf180f,11,phon_replication,bkbf1208,The bread van's coming,bread,vans,coming,1,hamster,Yes,Yes,1,510.0999999
5dfa688379f2fa7b1cdf180f,12,phon_replication,bkbf1301,The fruit came in a box,fruit,came,box,1,leopard,Yes,No,0,587.8000001
5dfa688379f2fa7b1cdf180f,13,phon_replication,bkbf1008,Someones crossing the road,Someones,crossing,road,3,penguin,Yes,Yes,1,801.1
5dfa688379f2fa7b1cdf180f,14,phon_replication,bkbf2016,The flower stands in a pot,flower,stands,pot,1,mosquito,No,No,1,530.2
5dfa688379f2fa7b1cdf180f,15,phon_replication,bkbf0812,The bus stopped suddenly,bus,stopped,suddenly,3,detector,No,No,1,835.6999999
5dfa688379f2fa7b1cdf180f,16,phon_replication,bkbf0201,The ladder's near the door,ladders,near,door,1,cupboard,Yes,Yes,1,587.1999999
5dfa688379f2fa7b1cdf180f,17,phon_replication,bkbf0109,The postman shut the gate,postman,shut,gate,3,guitar,Yes,No,0,572.2
5dfa688379f2fa7b1cdf180f,18,phon_replication,bkbf1215,The boy had a toy dragon,boy,toy,dragon,3,tortoise,Yes,No,0,1561.4
5dfa688379f2fa7b1cdf180f,19,phon_replication,bkbf0213,Some sticks were under the tree,sticks,under,tree,3,lipstick,Yes,Yes,1,567.4
5dfa688379f2fa7b1cdf180f,20,phon_replication,bkbf0411,The jam jar was full,jam,jar,full,3,slipper,Yes,Yes,1,746
5dfa688379f2fa7b1cdf180f,21,phon_replication,bkbf1906,The cleaner swept the floor,cleaner,swept,floor,2,antelope,No,No,1,654.4
5dfa688379f2fa7b1cdf180f,22,phon_replication,bkbf0216,The school finished early,school,finished,early,3,headphones,Yes,Yes,1,748
5dfa688379f2fa7b1cdf180f,23,phon_replication,bkbf0414,The cooks making a cake,cooks,making,cake,3,turbine,Yes,No,0,497
5dfa688379f2fa7b1cdf180f,24,phon_replication,bkbf0310,The man cleaned his shoes,man,cleaned,shoes,3,lighthouse,Yes,Yes,1,589.9
5dfa688379f2fa7b1cdf180f,25,phon_replication,bkbf0913,The dinner plate's hot,dinner,plates,hot,0,dolphin,Yes,No,0,404.4
5dfa688379f2fa7b1cdf180f,26,phon_replication,bkbf1205,The taps are above the sink,taps,above,sink,2,lizard,Yes,Yes,1,439.9
5dfa688379f2fa7b1cdf180f,27,phon_replication,bkbf1415,The grass is getting long,grass,getting,long,3,rhino,Yes,No,0,366.0999999
5dfa688379f2fa7b1cdf180f,28,phon_replication,bkbf1609,Some men shave in the morning,men,shave,morning,3,kangaroo,No,Yes,0,1113.7
5dfa688379f2fa7b1cdf180f,29,phon_replication,bkbf0803,The match boxes are empty,match,boxes,empty,3,computer,No,Yes,0,552.5999999
5dfa688379f2fa7b1cdf180f,30,phon_replication,bkbf0512,Somebody took the money,Somebody,took,money,3,pyjamas,No,No,1,361.7
5dfa688379f2fa7b1cdf180f,31,phon_replication,bkbf0204,The old gloves are dirty,old,gloves,dirty,0,scissors,Yes,Yes,1,457.6
5dfa688379f2fa7b1cdf180f,32,phon_replication,bkbf1616,The painter used a brush,painter,used,brush,3,jellyfish,No,No,1,572.3
5dfa688379f2fa7b1cdf180f,33,phon_replication,bkbf1212,The children help the milkman,children,help,milkman,2,reindeer,Yes,Yes,1,567.3
5dfa688379f2fa7b1cdf180f,34,phon_replication,bkbf0210,The police chased the car,police,chased,car,3,boiler,Yes,No,0,427
5dfa688379f2fa7b1cdf180f,35,phon_replication,bkbf1701,The apple pie's cooking,apple,pies,cooking,3,woodpecker,No,Yes,0,642.6999999
5dfa688379f2fa7b1cdf180f,36,phon_replication,bkbf1203,The front garden was pretty,front,garden,pretty,3,giraffe,Yes,No,0,482.4
5dfa688379f2fa7b1cdf180f,37,phon_replication,bkbf0602,The mother stirs the tea,mother,stirs,tea,1,sunglasses,No,Yes,0,486.2
5dfa688379f2fa7b1cdf180f,38,phon_replication,bkbf2012,The raincoat's hanging up,raincoats,hanging,up,2,chimpanzee,No,No,1,648.8000001
5dfa688379f2fa7b1cdf180f,39,phon_replication,bkbf0206,The thin dog was hungry,thin,dog,hungry,2,statue,Yes,Yes,1,1125.7
5dfa688379f2fa7b1cdf180f,40,phon_replication,bkbf1907,A grocer sells butter,grocer,sells,butter,0,ladybird,No,No,1,508.3000001
5f1ace65d6e11922208bb234,1,phon_replication,bkbf0213,Some sticks were under the tree,sticks,under,tree,3,lipstick,Yes,Yes,1,1130
5f1ace65d6e11922208bb234,2,phon_replication,bkbf2110,The egg cups are on the table,egg,cups,table,1,dragonfly,No,No,1,997.4
5f1ace65d6e11922208bb234,3,phon_replication,bkbf1208,The bread van's coming,bread,vans,coming,1,hamster,Yes,Yes,1,1094.1
5f1ace65d6e11922208bb234,4,phon_replication,bkbf0411,The jam jar was full,jam,jar,full,3,slipper,Yes,Yes,1,458.2
5f1ace65d6e11922208bb234,5,phon_replication,bkbf0615,The broom stood in the corner,broom,stood,corner,1,trampoline,No,No,1,781.1
5f1ace65d6e11922208bb234,6,phon_replication,bkbf1616,The painter used a brush,painter,used,brush,1,jellyfish,No,No,1,1103.5
5f1ace65d6e11922208bb234,7,phon_replication,bkbf1415,The grass is getting long,grass,getting,long,1,rhino,Yes,Yes,1,1081.6
5f1ace65d6e11922208bb234,8,phon_replication,bkbf0812,The bus stopped suddenly,bus,stopped,suddenly,1,detector,No,Yes,0,1129.5
5f1ace65d6e11922208bb234,9,phon_replication,bkbf0206,The thin dog was hungry,thin,dog,hungry,1,statue,Yes,Yes,1,379.3
5f1ace65d6e11922208bb234,10,phon_replication,bkbf0210,The police chased the car,police,chased,car,2,boiler,Yes,Yes,1,420.5
5f1ace65d6e11922208bb234,11,phon_replication,bkbf0414,The cooks making a cake,cooks,making,cake,2,turbine,Yes,Yes,1,394.4
5f1ace65d6e11922208bb234,12,phon_replication,bkbf0913,The dinner plate's hot,dinner,plates,hot,3,dolphin,Yes,Yes,1,926.8
5f1ace65d6e11922208bb234,13,phon_replication,bkbf0512,Somebody took the money,Somebody,took,money,3,pyjamas,No,No,1,364.6
5f1ace65d6e11922208bb234,14,phon_replication,bkbf2112,The cricket team's playing,cricket,teams,playing,0,cockerel,No,Yes,0,804.6
5f1ace65d6e11922208bb234,15,phon_replication,bkbf0201,The ladder's near the door,ladders,near,door,0,cupboard,Yes,Yes,1,715.8
5f1ace65d6e11922208bb234,16,phon_replication,bkbf1516,The puppy plays with a ball,puppy,plays,ball,0,octopus,No,No,1,1552.5
5f1ace65d6e11922208bb234,17,phon_replication,bkbf0803,The match boxes are empty,match,boxes,empty,3,computer,No,No,1,549.1
5f1ace65d6e11922208bb234,18,phon_replication,bkbf1906,The cleaner swept the floor,cleaner,swept,floor,2,antelope,No,No,1,405.8
5f1ace65d6e11922208bb234,19,phon_replication,bkbf0109,The postman shut the gate,postman,shut,gate,3,guitar,Yes,Yes,1,384.7
5f1ace65d6e11922208bb234,20,phon_replication,bkbf1408,The kitchen window was clean,kitchen,window,clean,1,hedgehog,Yes,Yes,1,362.3
5f1ace65d6e11922208bb234,21,phon_replication,bkbf1701,The apple pie's cooking,apple,pies,cooking,3,woodpecker,No,No,1,439.3
5f1ace65d6e11922208bb234,22,phon_replication,bkbf0204,The old gloves are dirty,old,gloves,dirty,0,scissors,Yes,Yes,1,384.3
5f1ace65d6e11922208bb234,23,phon_replication,bkbf0714,The orange was quite sweet,orange,quite,sweet,3,microphone,No,No,1,467
5f1ace65d6e11922208bb234,24,phon_replication,bkbf1215,The boy had a toy dragon,boy,toy,dragon,3,tortoise,Yes,Yes,1,367.7
5f1ace65d6e11922208bb234,25,phon_replication,bkbf1008,Someones crossing the road,Someones,crossing,road,3,penguin,Yes,Yes,1,520.3
5f1ace65d6e11922208bb234,26,phon_replication,bkbf0912,The lady packed her bag,lady,packed,bag,2,basketball,No,No,1,669.9
5f1ace65d6e11922208bb234,27,phon_replication,bkbf0602,The mother stirs the tea,mother,stirs,tea,1,sunglasses,No,No,1,430.6
5f1ace65d6e11922208bb234,28,phon_replication,bkbf1203,The front garden was pretty,front,garden,pretty,1,giraffe,Yes,Yes,1,344.3
5f1ace65d6e11922208bb234,29,phon_replication,bkbf0502,The matches lie on the shelf,matches,lie,shelf,2,motorbike,No,No,1,507.2
5f1ace65d6e11922208bb234,30,phon_replication,bkbf0216,The school finished early,school,finished,early,3,headphones,Yes,Yes,1,389.2
5f1ace65d6e11922208bb234,31,phon_replication,bkbf1907,A grocer sells butter,grocer,sells,butter,0,ladybird,No,No,1,402
5f1ace65d6e11922208bb234,32,phon_replication,bkbf0501,The bath towel was wet,bath,towel,wet,3,container,No,No,1,348.4
5f1ace65d6e11922208bb234,33,phon_replication,bkbf1212,The children help the milkman,children,help,milkman,1,reindeer,Yes,Yes,1,1074.4
5f1ace65d6e11922208bb234,34,phon_replication,bkbf1301,The fruit came in a box,fruit,came,box,1,leopard,Yes,Yes,1,1355.1
5f1ace65d6e11922208bb234,35,phon_replication,bkbf0310,The man cleaned his shoes,man,cleaned,shoes,3,lighthouse,Yes,Yes,1,781.4
5f1ace65d6e11922208bb234,36,phon_replication,bkbf1205,The taps are above the sink,taps,above,sink,0,lizard,Yes,Yes,1,325.6
5f1ace65d6e11922208bb234,37,phon_replication,bkbf2016,The flower stands in a pot,flower,stands,pot,3,mosquito,No,No,1,294.9
5f1ace65d6e11922208bb234,38,phon_replication,bkbf0906,A letter fell on the mat,letter,fell,mat,2,camera,No,Yes,0,1432.1
